Rank,Name,Bye,Best,Worst,Average,StdDev,ADP,vsADP,Tier
126,Ty Montgomery GB,7,76,278,133.7,32.1,126,0,8
127,Devontae Booker DEN,10,71,280,134.4,35,117,-10,8
128,Kenny Golladay DET,6,86,259,134.8,29.2,137,9,8
129,Cameron Meredith NO,6,66,215,137,28.6,142,13,8
130,Giovani Bernard CIN,9,84,256,136.2,30.2,145,15,8
131,O.J. Howard TB,5,85,216,140.9,28.2,150,19,8
132,Bilal Powell NYJ,11,60,212,136,32.5,160,28,8
133,Tyler Lockett SEA,7,87,250,143.7,36.3,161,28,8
134,Jacksonville (JAC),9,93,261,144.9,32.8,110,-24,8
135,DeSean Jackson TB,5,95,240,143.9,27.8,189,54,9
136,Corey Clement PHI,9,79,272,144.6,36.4,135,-1,9
137,Tyler Eifert CIN,9,102,220,146.9,28.8,139,2,9
138,Mike Williams LAC,8,78,226,144.3,35.7,131,-7,9
139,Cameron Brate TB,5,89,249,152.8,28.9,178,39,9
140,Derek Carr OAK,7,101,244,151.5,26.9,133,-7,9
141,Peyton Barber TB,5,73,250,149.5,39.9,163,22,9
142,Blake Bortles JAC,9,100,250,153.2,30.2,181,39,9
143,D'Onta Foreman HOU,10,75,255,148.5,37.9,122,-21,9
144,Minnesota (MIN),10,104,263,152.3,28.6,127,-17,9
145,Latavius Murray MIN,10,57,254,152.9,31.4,148,3,9
146,Calvin Ridley ATL,8,83,214,150,29.4,113,-33,9
147,Eric Ebron IND,9,88,218,155.8,28.4,196,49,9
148,Mitch Trubisky CHI,5,98,239,155.2,26.6,162,14,9
149,Paul Richardson WAS,4,96,218,150.7,26.4,175,26,9
150,Samaje Perine WAS,4,66,287,149.5,50.4,166,16,9
151,Eli Manning NYG,9,96,279,158.7,30,170,19,9
152,Tyrell Williams LAC,8,86,258,157,41,185,33,9
153,Charles Clay BUF,11,105,214,158.1,24.7,222,69,9
154,Anthony Miller CHI,5,91,260,151.3,35.6,157,3,9
155,Mohamed Sanu ATL,8,73,263,155.6,35.6,195,40,9
156,LeGarrette Blount DET,6,53,263,156.9,35.7,149,-7,9
157,Matt Breida SF,11,97,280,157.3,37.5,140,-17,9
158,James White NE,11,103,253,156.8,26.8,154,-4,9
159,Doug Martin OAK,7,100,249,156.5,32.2,146,-13,9
160,Chris Godwin TB,5,91,233,157.1,35,194,34,9
161,Philadelphia (PHI),9,111,284,160.4,30,136,-25,9
162,Michael Gallup DAL,8,93,247,153.8,33.8,141,-21,9
163,Theo Riddick DET,6,99,250,157.7,28.9,168,5,9
164,Dez Bryant FA,,31,228,141.4,36,155,-9,9
165,Jared Cook OAK,7,86,202,159.8,26.6,192,27,9
166,Nyheim Hines IND,9,68,246,156.3,34.8,134,-32,9
167,Los Angeles (LAR),12,106,262,164.1,29.5,121,-46,9
168,Case Keenum DEN,10,104,275,166.3,30.7,173,5,9
169,Ted Ginn NO,6,85,253,161.8,32.4,193,24,9
170,Martavis Bryant OAK,7,85,245,162.3,35.8,159,-11,9
171,Houston (HOU),10,121,292,168.6,30.2,153,-18,9
172,Los Angeles (LAC),8,113,288,168.3,30.1,143,-29,9
173,Andy Dalton CIN,9,101,267,170.6,30.4,212,39,9
174,Austin Seferian-Jenkins JAC,9,83,234,166.7,33.3,171,-3,9
175,Frank Gore MIA,11,82,252,164.7,31.6,200,25,9
176,Denver (DEN),10,113,268,169.3,28.3,164,-12,9
177,Jameis Winston TB,5,79,241,174.9,33.5,156,-21,9
178,Dede Westbrook JAC,9,96,250,169.1,37.8,169,-9,9
179,John Brown BAL,10,94,253,171.3,37.1,242,63,9
180,Jordan Wilkins IND,9,92,267,163.4,41.1,165,-15,10
181,Baltimore (BAL),10,131,293,176.5,30.7,158,-23,10
182,Stephen Gostkowski NE,11,125,315,177.5,31.6,125,-57,10
183,Ricky Seals-Jones ARI,9,98,239,176.5,30.9,210,27,10
184,Keelan Cole JAC,9,94,261,174.2,39.3,190,6,10
185,Chris Ivory BUF,11,104,245,169.8,36.9,235,50,10
186,Benjamin Watson NO,6,86,260,175.2,33.1,227,41,10
187,Vance McDonald PIT,7,110,293,179.6,31.8,230,43,10
188,Quincy Enunwa NYJ,11,99,254,179.4,33.1,259,71,10
189,Justin Tucker BAL,10,124,319,184.4,33.6,144,-45,10
190,Robert Kelley WAS,4,60,288,159.7,47.5,147,-43,10
191,Mike Wallace PHI,9,125,247,179.6,33.4,293,102,10
192,Geronimo Allison GB,7,124,265,176.6,31,188,-4,10
193,Donte Moncrief JAC,9,85,261,181.5,36.6,234,41,10
194,John Ross CIN,9,112,291,179.1,42.3,199,5,10
195,Tyrod Taylor CLE,11,112,278,186.4,36.7,214,19,10
196,Ryan Tannehill MIA,11,127,261,185.8,30.6,206,10,10
197,Greg Zuerlein LAR,12,121,313,185.5,31.4,132,-65,10
198,Austin Hooper ATL,8,110,275,183.2,30.2,238,40,10
199,Ryan Grant IND,9,89,263,179.7,36.8,269,70,10
200,Austin Ekeler LAC,8,107,286,184.8,37.9,184,-16,10
201,Christian Kirk ARI,9,94,253,182.2,34.1,182,-19,10
202,Corey Coleman BUF,11,116,261,188.9,41.1,243,41,10
203,New Orleans (NO),6,120,297,187.9,29.4,187,-16,10
204,Mike Gesicki MIA,11,119,271,185,34.8,174,-30,10
205,Seattle (SEA),7,127,350,193.7,42.1,176,-29,10
206,Kenneth Dixon BAL,10,111,298,186.1,37.9,217,11,10
207,Matt Bryant ATL,8,129,366,192.1,36.1,205,-2,10
208,Spencer Ware KC,12,111,273,189.8,36.4,225,17,10
209,New England (NE),11,143,308,191.7,28.4,223,14,10
210,Hayden Hurst BAL,10,88,273,188.7,42.9,167,-43,10
211,Danny Amendola MIA,11,120,261,190.5,31.6,256,45,10
212,Wil Lutz NO,6,136,364,197.8,33.8,180,-32,10
213,Pittsburgh (PIT),7,134,323,195.9,29.9,201,-12,10
214,Carolina (CAR),4,137,306,196,28.6,203,-11,10
215,Kansas City (KC),12,133,363,203.6,40.9,247,32,10
216,Jermaine Kearse NYJ,11,104,281,198.7,36.6,299,83,10
217,T.J. Yeldon JAC,9,127,266,191,30.9,204,-13,10
218,Javorius Allen BAL,10,114,282,198.9,38,233,15,10
219,Cole Beasley DAL,8,97,264,202.2,41.2,252,33,10
220,Kalen Ballage MIA,11,91,285,198.2,46,208,-12,11
221,Jake Elliott PHI,9,143,367,206.9,35,172,-49,11
222,Matt Prater DET,6,141,330,204.4,32.1,236,14,11
223,Dan Bailey DAL,8,132,365,206.2,37.1,246,23,11
224,Courtland Sutton DEN,10,69,288,205.6,39.4,191,-33,11
225,Brandon Marshall SEA,7,121,278,198.9,37.1,287,62,11
226,Albert Wilson MIA,11,149,264,202.5,30.3,274,48,11
227,James Washington PIT,7,117,268,207.1,36.5,202,-25,11
228,Chicago (CHI),5,140,304,205.6,28.4,249,21,11
229,Terrance Williams DAL,8,131,280,209.3,37.9,273,44,11
230,Jonathan Stewart NYG,9,126,274,204.5,34.6,295,65,11
231,Chris Boswell PIT,7,132,373,210,34.3,231,0,11
232,Atlanta (ATL),8,150,359,211.4,32.1,267,35,11
233,Harrison Butker KC,12,140,374,213.9,35.6,179,-54,11
234,Joe Flacco BAL,10,139,262,210.4,27.6,207,-27,11
235,Mason Crosby GB,7,133,370,213.1,34.4,248,13,11
236,Wayne Gallman NYG,9,109,359,211.1,46.5,321,85,11
237,Jordan Matthews FA,,97,411,214.1,72.9,245,8,11
238,Taywan Taylor TEN,8,143,292,209,37.5,291,53,11
239,Darren Sproles PHI,9,146,249,204.7,26.1,271,32,11
240,Terrelle Pryor NYJ,11,104,276,211.6,32.8,257,17,11
241,Arizona (ARI),9,144,322,212.8,31.3,239,-2,11
242,Eric Decker NE,11,135,262,206,32.1,211,-31,11
243,Dante Pettis SF,11,120,281,211.1,33.4,218,-25,11
244,Luke Willson DET,6,144,269,206,32.4,220,-24,11
245,Corey Grant JAC,9,141,270,210.5,32.7,301,56,11
246,Green Bay (GB),7,143,361,225.4,36,219,-27,11
247,J.J. Nelson ARI,9,144,299,216.1,36.5,370,123,11
248,Sam Bradford ARI,9,163,258,212.6,27.5,224,-24,11
249,Ameer Abdullah DET,6,125,338,216.7,45.5,289,40,11
250,Travis Benjamin LAC,8,120,293,222,45.5,303,53,11
251,Vernon Davis WAS,4,150,274,217.6,27.3,272,21,11
252,Graham Gano CAR,4,138,391,224.7,38.3,270,18,11
253,Chase Edmonds ARI,9,147,272,215.7,34.7,262,9,11
254,Robbie Gould SF,11,131,375,221,38.8,186,-68,11
255,Lamar Jackson BAL,10,56,300,224.6,53,177,-78,11
256,Tyler Kroft CIN,9,134,298,226.3,44.3,350,94,11
257,Jeremy Hill NE,11,158,310,219.2,38.5,197,-60,11
258,New York (NYG),9,147,362,225.9,39.9,282,24,11
259,Kenny Britt NE,11,139,309,238.4,49.8,379,120,11
260,Baker Mayfield CLE,11,126,296,224.8,39.7,183,-77,11
261,Ryan Succop TEN,8,129,393,226.8,46.8,317,56,11
262,C.J. Prosise SEA,7,164,311,229.6,41.3,311,49,11
263,Alfred Morris SF,11,104,237,189.3,46.4,294,31,11
264,Kai Forbath MIN,10,137,378,226,45,253,-11,12
265,John Kelly LAR,12,154,317,230,41.4,276,11,12
266,Rod Smith DAL,8,161,283,225.8,38.5,281,15,12
267,Brandon McManus DEN,10,155,368,234.5,46,278,11,12
268,James Conner PIT,7,154,299,220.2,39.1,216,-52,12
269,Josh McCown NYJ,11,157,334,226.5,38,308,39,12
270,Cincinnati (CIN),9,154,341,228.8,32.7,312,42,12
271,Brice Butler ARI,9,153,313,225.1,35.6,374,103,12
272,Willie Snead BAL,10,142,305,228.5,33.9,310,38,12
273,Adam Vinatieri IND,9,166,372,224.8,34.7,260,-13,12
274,Josh Rosen ARI,9,133,294,219.9,36.9,213,-61,12
275,Joe Williams SF,11,137,333,237.5,47.6,348,73,12
276,Antonio Gates FA,,153,333,227.6,52,232,-44,12
277,Elijah McGuire NYJ,11,158,413,231.2,45.5,296,19,12
278,Jake Butt DEN,10,159,294,228.2,34.5,215,-63,12
279,Trent Taylor SF,11,151,280,229.2,32.1,337,58,12
280,Jeremy Maclin FA,,130,397,231.4,69.9,327,47,12
281,Taylor Gabriel CHI,5,175,291,232.6,31.1,357,76,12
282,Josh Lambo JAC,9,130,380,243,52,228,-54,12
283,Zay Jones BUF,11,163,280,231.9,28.8,226,-57,12
284,Phillip Dorsett NE,11,136,235,179.3,41.3,320,36,12
285,Sam Darnold NYJ,11,153,300,230.9,37.8,237,-48,12
286,Antonio Callaway CLE,11,137,360,239.7,53.6,240,-46,12
287,Mike Davis SEA,7,168,317,244.7,54.6,407,120,12
288,Tennessee (TEN),8,164,360,229.1,36.7,198,-90,12
289,Josh Allen BUF,11,159,278,222.4,31.3,263,-26,12
290,Chester Rogers IND,9,164,308,232.8,38.2,383,93,12
291,Tre'Quan Smith NO,6,152,374,245.5,52.8,266,-25,12
292,Mack Hollins PHI,9,140,370,250,58.1,288,-4,12
293,Ka'imi Fairbairn HOU,10,147,396,254,61,251,-42,12
294,Jaron Brown SEA,7,141,332,231.2,36,209,-85,12
295,Curtis Samuel CAR,4,156,299,230.8,36.3,351,56,12
296,Stephen Anderson HOU,10,165,309,250.8,43.9,387,91,12
297,Caleb Sturgis LAC,8,146,400,260.8,68.4,384,87,12
298,Gerald Everett LAR,12,167,351,233,34,340,42,12
299,Adam Shaheen CHI,5,155,303,236.7,37.5,338,39,12
300,Buffalo (BUF),11,164,377,250.3,52.8,297,-3,12
301,Sebastian Janikowski SEA,7,148,397,277.8,88.3,408,107,12
302,Dontrelle Inman FA,,179,292,211,46.9,,,12
303,C.J. Fiedorowicz FA,,153,228,197.2,24.4,,,12
304,Malcolm Mitchell FA,,151,368,262,69.4,261,-43,12
305,Equanimeous St. Brown GB,7,152,203,177.5,25.5,349,44,12
306,J'Mon Moore GB,7,153,336,238.8,49.6,302,-4,12
307,Adrian Peterson FA,,154,263,229.4,34.4,334,27,12
308,Daniel Carlson MIN,10,172,395,255.6,62.4,305,-3,12
309,Detroit (DET),6,166,379,251.1,48.6,298,-11,12
310,Josh Hill NO,6,156,320,239.8,43.3,,,12
311,Bo Scarbrough DAL,8,160,320,257.4,53.2,319,8,12
312,Phil Dawson ARI,9,172,394,267.8,74.3,333,21,12
313,D.J. Chark JAC,9,162,315,254.1,43.1,280,-33,12
314,Jonathan Williams NO,6,164,327,258.2,60.1,314,0,12
315,Mark Walton CIN,9,181,350,255.1,54,325,10,12
316,Chandler Catanzaro TB,5,165,398,289.3,81.8,,,12
317,AJ McCarron BUF,11,178,295,237.9,35.6,275,-42,12
318,Tyler Boyd CIN,9,181,306,238.8,36.7,390,72,12
319,Jesse James PIT,7,167,341,258.2,43.3,313,-6,12
320,Kevin White CHI,5,175,357,240.8,41,329,9,12
321,Orleans Darkwa FA,,179,410,277.5,68.9,300,-21,12
322,Steven Hauschka BUF,11,170,399,279.4,65.4,277,-45,12
323,San Francisco (SF),11,170,382,288.9,60,363,40,12
324,Kendall Wright MIN,10,173,328,256.4,36.9,365,41,12
325,Tavon Austin DAL,8,187,323,240.1,36.3,285,-40,13
326,Robert Turbin IND,9,175,358,271.2,48.2,,,13
327,Ryan Fitzpatrick TB,5,188,297,232.3,41.7,324,-3,13
328,Teddy Bridgewater NYJ,11,184,409,265,71.9,392,64,13
329,DeAndre Washington OAK,7,179,357,258.2,41.8,342,13,13
330,Dustin Hopkins WAS,4,179,401,282.9,67.7,371,41,13
331,Chad Williams ARI,9,180,294,250.4,28.2,292,-39,13
332,Cody Parkey CHI,5,180,403,284.3,79.2,,,13
333,Justin Jackson LAC,8,190,316,247.3,37.8,330,-3,13
334,Ed Dickson SEA,7,192,307,235.9,30.4,309,-25,13
335,Torrey Smith CAR,4,184,331,245.3,27.9,359,24,13
336,Cairo Santos NYJ,11,191,392,260.2,50.1,221,-115,13
337,Giorgio Tavecchio FA,,184,402,290,89.1,416,79,13
338,Blair Walsh FA,,185,280,236,25,,,13
339,Nick Foles PHI,9,193,228,205,16.3,290,-49,13
340,De'Angelo Henderson DEN,10,186,282,243,25.7,244,-96,13
341,Garrett Celek SF,11,186,335,263.8,46.2,316,-25,13
342,Ryan Griffin HOU,10,189,322,236.7,35.9,332,-10,13
343,Virgil Green LAC,8,190,300,244.8,25.7,377,34,13
344,Dallas Goedert PHI,9,194,302,247.5,35.1,265,-79,13
345,Kyle Juszczyk SF,11,190,347,289,54.2,,,13
346,Tyler Ervin HOU,10,191,248,219.5,28.5,,,13
347,Terrance West NO,6,196,356,251.1,47.8,401,54,13
348,Washington (WAS),4,191,384,274.5,54.4,315,-33,13
349,Nick Vannett SEA,7,192,312,247.8,35.2,369,20,13
350,Alfred Blue HOU,10,193,369,255.1,55.3,400,50,13
351,Akrum Wadley TEN,8,193,354,279.3,66.2,,,13
352,Jaylen Samuels PIT,7,194,363,253.6,48.2,307,-45,13
353,Dallas (DAL),8,194,385,268.3,50,241,-112,13
354,Mike Gillislee NE,11,195,331,240.8,35.7,343,-11,13
355,Adam Humphries TB,5,195,310,243.6,35.4,358,3,13
356,Jalen Richard OAK,7,195,334,248.8,35.3,341,-15,13
357,Tampa Bay (TB),5,199,381,271.2,54.7,,,13
358,Cody Latimer NYG,9,199,376,272.3,75.4,382,24,13
359,Carlos Henderson DEN,10,199,358,296.8,65.2,,,13
360,Breshad Perriman BAL,10,199,396,312.7,83.2,279,-81,13
361,Jacquizz Rodgers TB,5,200,334,274.4,45.1,361,0,14
362,Jordan Akins HOU,10,205,267,244,27.7,398,36,14
363,Keke Coutee HOU,10,214,288,248.9,22.6,255,-108,14
364,Shane Vereen NO,6,244,262,253,9,318,-46,14
365,Coby Fleener FA,,239,277,254,15.4,306,-59,14
366,Marquez Valdes-Scantling GB,7,243,265,254,11,356,-10,14
367,Jakeem Grant MIA,11,201,379,254.6,60.8,,,14
368,Jamaal Charles FA,,253,263,258,5,,,14
369,Charles Sims TB,5,213,355,265.9,35.5,339,-30,14
370,Daurice Fountain IND,9,247,285,266,19,385,15,14
371,Cleveland (CLE),11,207,386,266.7,52.6,354,-17,14
372,Cordarrelle Patterson NE,11,205,335,267.3,46.5,353,-19,14
373,Thomas Rawls NYJ,11,205,330,268.6,38.1,,,14
374,Jeremy Kerley BUF,11,204,348,272.7,45.9,,,14
375,Jonnu Smith TEN,8,222,311,273.2,26.7,373,-2,14
376,Trey Edmunds NO,6,227,326,276.5,49.5,388,12,14
377,Brandon LaFell FA,,203,412,279,63,362,-15,14
378,Bruce Ellington HOU,10,263,299,279.3,14.9,304,-74,14
379,Ryan Switzer OAK,7,224,353,279.7,54.1,406,27,14
380,Blake Jarwin DAL,8,208,342,279.8,41.5,229,-151,14
381,DaeSean Hamilton DEN,10,227,351,280.3,47.5,322,-59,14
382,Chris Conley KC,12,212,356,281.3,43.2,,,14
383,Ito Smith ATL,8,228,339,281.8,36.8,352,-31,14
384,Tyler Higbee LAR,12,237,357,281.9,36.7,381,-3,14
385,Boston Scott NO,6,224,371,286.9,43.2,397,12,14
386,Seth Roberts OAK,7,229,348,288,42.5,378,-8,14
387,Demarcus Robinson KC,12,209,380,288.3,62.2,368,-19,14
388,Mark Andrews BAL,10,236,339,288.3,38,268,-120,14
389,New York (NYJ),11,202,392,291.6,71.4,258,-131,14
390,Cameron Artis-Payne CAR,4,233,348,292.8,42,283,-107,14
391,Charcandrick West KC,12,259,328,293.5,34.5,,,14
392,Seth DeValve CLE,11,236,339,295,38.2,393,1,14
393,Oakland (OAK),7,216,389,296.9,62.8,,,14
394,Travaris Cadet BUF,11,252,352,298.8,33.6,,,14
395,ArDarius Stewart NYJ,11,216,383,299.5,83.5,,,14
396,Clive Walford NYJ,11,256,332,300.7,32.4,,,14
397,Randy Bullock CIN,9,201,404,302.5,101.5,,,14
398,Marcedes Lewis GB,7,281,340,303.3,26.1,386,-12,14
399,Jordan Leggett NYJ,11,262,345,303.5,41.5,,,14
400,Wendell Smallwood PHI,9,262,349,305.5,43.5,,,14
401,Rico Gathers DAL,8,250,346,305.6,36,286,-115,14
402,Demetrius Harris KC,12,288,324,305.8,17.8,,,14
403,Nick O'Leary BUF,11,287,336,307.5,18.8,,,14
404,Kapri Bibbs WAS,4,264,353,308.5,44.5,,,14
405,Chris Herndon IV NYJ,11,265,366,309,44.1,250,-155,14
406,Kendrick Bourne SF,11,238,389,313.5,75.5,,,14
407,TJ Jones DET,6,203,407,314,71.6,,,14
408,Jermaine Gresham ARI,9,273,353,314.2,29.5,,,14
409,Damien Williams KC,12,287,343,315,28,,,14
410,Roger Lewis NYG,9,295,368,315.5,30.4,,,14
411,Josh Reynolds LAR,12,256,364,316,47.9,,,14
412,Laquon Treadwell MIN,10,266,347,318.3,37.1,364,-48,14
413,Amara Darboh SEA,7,289,371,319.6,30.5,,,14
414,Brandon Coleman FA,,291,350,320.5,29.5,,,14
415,Malcolm Brown LAR,12,280,345,320.7,28.9,413,-2,14
416,Andre Holmes BUF,11,294,351,322.5,28.5,,,14
417,J.D. McKissic SEA,7,268,355,324,39.7,360,-57,14
418,Niles Paul JAC,9,318,332,325,7,,,14
419,Johnny Holton OAK,7,257,394,325.5,68.5,,,14
420,Aldrick Rosas NYG,9,249,405,327,78,,,14
421,Jeff Heuerman DEN,10,284,386,330.3,42.2,344,-77,14
422,Chris Moore BAL,10,283,378,330.5,47.5,,,14
423,Tajae Sharpe TEN,8,287,387,337,50,,,14
424,Justin Hardy ATL,8,251,408,341.3,66.2,,,14
425,Benny Cunningham CHI,5,344,354,349,5,,,14
426,Miami (MIA),11,285,388,350.3,39,,,14
427,Nick Boyle BAL,10,344,359,351.5,7.5,,,14
428,Rhett Ellison NYG,9,342,375,358.5,16.5,,,14
429,D.J. Foster ARI,9,349,369,359,10,,,14
430,Indianapolis (IND),9,286,400,360.3,44.7,,,14
431,David Fluellen TEN,8,383,398,390.5,7.5,,,14
