Rank,Name,Bye,Best,Worst,Average,StdDev,ADP,vsADP,Tier
96,Kenny Britt NE,11,59,131,100,14.7,128,32,8
97,Willie Snead BAL,10,63,106,89.2,9.5,107,10,9
98,Taylor Gabriel CHI,5,66,109,90.6,8.4,120,22,9
99,J.J. Nelson ARI,9,64,128,90.7,12.8,110,11,9
100,Zay Jones BUF,11,72,118,91.5,10.6,104,4,9
101,Trent Taylor SF,11,67,127,92.9,11,114,13,9
102,Chester Rogers IND,9,65,132,94.9,10.2,130,28,9
103,Torrey Smith CAR,4,78,119,95.7,10.1,122,19,9
104,Tavon Austin DAL,8,65,180,96,15.8,97,-7,9
105,Curtis Samuel CAR,4,61,153,97.9,14.2,125,20,9
106,Antonio Callaway CLE,11,61,129,98.4,17.1,83,-23,9
107,Chad Williams ARI,9,72,140,99.1,13.1,109,2,9
108,Kendall Wright MIN,10,75,115,99.9,9.5,133,25,9
109,Keke Coutee HOU,10,74,151,100.4,17,88,-21,9
110,Tyler Boyd CIN,9,79,147,100.6,13.8,126,16,9
111,Tre'Quan Smith NO,6,61,128,101.1,14.1,90,-21,9
112,Kevin White CHI,5,67,140,102,17.8,113,1,9
113,Adam Humphries TB,5,79,131,102.5,13.3,118,5,9
114,J'Mon Moore GB,7,68,146,103.6,17,103,-11,9
115,Brandon LaFell FA,,78,147,105.4,15.6,131,16,9
116,Jakeem Grant MIA,11,75,155,105.9,17.5,,,9
117,Equanimeous St. Brown GB,7,76,187,107,21.9,124,7,9
118,Cordarrelle Patterson NE,11,66,143,108.4,17.5,119,1,9
119,Laquon Treadwell MIN,10,78,133,109.9,11.7,116,-3,9
120,Chris Conley KC,12,90,142,111.2,10.9,,,9
121,Dontrelle Inman FA,,75,225,111.4,37,,,9
122,D.J. Chark JAC,9,80,160,111.5,14.2,95,-27,9
123,Amara Darboh SEA,7,85,143,111.7,12,,,9
124,Bruce Ellington HOU,10,86,133,112.8,10.4,102,-22,9
125,Seth Roberts OAK,7,98,146,112.9,12.9,137,12,9
126,Demarcus Robinson KC,12,89,135,113.6,14,121,-5,9
127,DaeSean Hamilton DEN,10,87,154,114.3,17,112,-15,9
128,Cody Latimer NYG,9,76,140,115.3,16.9,138,10,9
129,Roger Lewis NYG,9,97,146,117.1,13.4,,,9
130,Jeremy Kerley BUF,11,84,329,117.5,43.7,,,9
131,Josh Reynolds LAR,12,84,144,117.8,12.6,,,9
132,Phillip Dorsett NE,11,62,188,118.5,29.3,108,-24,9
133,Braxton Miller HOU,10,89,147,120,14.2,,,9
134,Carlos Henderson DEN,10,88,216,120.3,31,,,9
135,TJ Jones DET,6,83,168,120.8,18.8,,,9
136,Andre Holmes BUF,11,105,151,121.1,12.8,,,9
137,Chris Moore BAL,10,102,149,121.4,13,,,9
138,Malcolm Mitchell FA,,68,263,121.7,42.4,98,-40,9
139,Breshad Perriman BAL,10,87,266,123.8,34.4,91,-48,9
140,Aldrick Robinson SF,11,109,152,124.6,11.8,,,9
141,Marquez Valdes-Scantling GB,7,89,177,125.8,27.5,117,-24,9
142,Tajae Sharpe TEN,8,91,145,127.2,15.6,,,9
143,Ryan Switzer OAK,7,90,165,128.3,24.2,142,-1,9
144,Daurice Fountain IND,9,81,162,128.9,22.7,132,-12,9
145,Brandon Coleman FA,,95,222,129.1,38,,,9
146,Justin Hardy ATL,8,107,192,131.4,23.9,,,9
147,Josh Malone CIN,9,101,157,131.9,17,143,-4,9
148,Marcell Ateman OAK,7,92,256,132.2,48.4,,,9
149,Jarius Wright CAR,4,112,156,132.5,16,,,9
150,Rashard Higgins CLE,11,98,159,133.9,17.5,,,9
151,ArDarius Stewart NYJ,11,97,189,134.3,27.5,,,9
152,Chad Hansen NYJ,11,106,153,135.5,15.8,,,9
153,Deonte Thompson DAL,8,127,172,136.7,12.6,135,-18,9
154,Kendrick Bourne SF,11,94,175,137.4,20.6,,,9
155,Jordan Lasley BAL,10,109,155,137.5,14.1,111,-44,9
156,Johnny Holton OAK,7,110,171,140.6,18.7,,,9
157,Rod Streater BUF,11,120,162,142.4,13.2,,,9
158,Auden Tate CIN,9,128,196,144.6,19.6,141,-17,9
159,Jaleel Scott BAL,10,120,193,144.7,23.8,,,9
160,Pharoh Cooper LAR,12,91,176,145.6,24.4,,,9
161,Kamar Aiken PHI,9,120,217,146.9,30.4,,,9
162,Darrius Heyward-Bey PIT,7,123,185,147,17.4,,,9
163,Justin Watson TB,5,134,158,148.8,8.4,139,-24,9
164,De'Anthony Thomas KC,12,121,175,149.3,19.1,,,9
165,Maurice Harris WAS,4,117,179,151.3,27.3,,,9
166,Josh Bellamy CHI,5,121,178,151.7,20.2,,,9
167,Michael Campanaro TEN,8,113,199,154.9,26.4,,,9
168,Brian Quick WAS,4,119,176,155.8,20.7,,,9
169,Justin Hunter PIT,7,110,188,156,23.6,,,9
170,Andy Jones DET,6,140,171,156,12.7,,,9
171,Leonte Carroo MIA,11,147,168,156.5,7.6,,,9
172,Trevor Davis GB,7,117,204,158.7,28.7,,,9
173,Marvin Hall ATL,8,134,183,160.3,19.1,,,9
174,Geremy Davis LAC,8,118,218,160.8,36.1,,,9
175,Alex Erickson CIN,9,139,170,161.2,11.5,,,9
176,Eli Rogers PIT,7,122,228,162.8,41.1,,,9
177,Travis Rudolph NYG,9,124,199,163.2,28.6,,,9
178,Cedrick Wilson DAL,8,141,202,163.7,21,140,-38,9
179,Damiere Byrd CAR,4,135,181,164,15.6,,,9
180,Braxton Berrios NE,11,112,289,164.3,63.3,134,-46,9
181,Tre McBride NYJ,11,139,190,164.5,25.5,,,9
182,Jaydon Mickens JAC,9,132,190,165,21.2,,,9
183,Jehu Chesson KC,12,151,180,165.2,11,,,9
184,Ray-Ray McCloud BUF,11,152,190,165.3,15.3,,,9
185,Michael Floyd NO,6,118,227,166.3,41.1,,,9
186,Bennie Fowler CHI,5,135,189,168,22.6,136,-50,9
187,Stacy Coley MIN,10,145,214,168.3,27.3,,,9
188,Damion Ratley CLE,11,139,196,168.3,23.3,,,9
189,Dylan Cantrell LAC,8,145,215,168.7,32.8,,,9
190,Ricardo Louis CLE,11,145,193,169.3,19.6,,,9
191,Tavarres King MIN,10,137,211,171.3,27.5,,,9
192,Tanner McEvoy SEA,7,134,246,171.5,37,,,9
193,Richie James SF,11,85,372,172,101.9,,,9
194,Noah Brown DAL,8,154,185,172.2,11,,,9
195,Simmie Cobbs Jr. WAS,4,126,213,173,33,123,-72,9
196,Tommylee Lewis NO,6,142,186,173.4,15.9,,,9
197,Trey Quinn WAS,4,128,242,174,34.2,81,-116,9
198,Kasen Williams IND,9,143,215,175,26,,,9
199,Quadree Henderson PIT,7,121,219,175.7,40.8,,,9
200,Kaelin Clay BUF,11,156,220,178.3,24.8,,,9
201,Artavis Scott LAC,8,160,198,179,19,,,9
202,Krishawn Hogan IND,9,159,206,179.7,19.6,,,9
203,Riley McCarron NE,11,102,305,180,75.7,115,-88,9
204,Russell Shepard NYG,9,145,237,180.3,40.5,,,9
205,Jeff Janis CLE,11,127,260,183.3,40,,,9
206,Mike Thomas LAR,12,152,227,184,24.2,,,9
207,Jordan Taylor DEN,10,123,270,184.2,48,,,9
208,Shelton Gibson PHI,9,165,208,185.3,17.6,,,9
209,Bobo Wilson TB,5,180,193,186.5,6.5,,,9
210,Sammie Coates HOU,10,140,299,187.2,52,144,-66,9
211,Jake Kumerow GB,7,98,286,191,76.8,105,-106,9
212,Deontay Burnett TEN,8,134,273,191.3,53,,,9
213,Chris Thompson HOU,10,117,293,193.7,73.6,,,9
214,Freddie Martino TB,5,168,213,196.7,20.3,,,9
215,Cody Core CIN,9,119,330,197.6,70.7,,,9
216,Markus Wheaton PHI,9,160,254,197.8,36.2,,,9
217,Aaron Burbridge SF,11,100,306,202.3,84.1,,,9
218,Bradley Marquez DET,6,161,272,206,40.7,,,9
219,Griff Whalen OAK,7,166,248,207,41,,,9
220,Rashad Ross ARI,9,181,234,207.5,26.5,,,9
221,Andre Roberts NYJ,11,165,360,208.2,76,,,9
222,Cobi Hamilton FA,,188,229,208.5,20.5,,,9
223,Jaelen Strong FA,,192,226,209,17,,,9
224,Nick Williams TEN,8,151,271,211,60,,,9
225,Tanner Gentry CHI,5,176,259,211.3,30.4,,,9
226,DeAngelo Yancey GB,7,132,364,213.4,78.9,,,9
227,Quincy Adeboyejo BAL,10,158,282,214,51.3,,,9
228,KD Cannon DAL,8,196,233,214.5,18.5,,,9
229,Austin Carr NO,6,175,325,216,63,,,9
230,Russell Gage ATL,8,164,332,221.5,65.1,,,9
231,Marcus Johnson SEA,7,155,378,224,90,,,9
232,Austin Proehl BUF,11,185,296,225.3,50.1,,,9
233,K.J. Brent IND,9,169,303,236,67,,,9
234,Jester Weah HOU,10,177,309,243,66,,,9
235,DeVier Posey BAL,10,165,327,246,81,,,9
236,Charone Peake NYJ,11,178,363,249.3,81.2,,,9
237,Jace Billingsley DET,6,149,366,257.5,108.5,,,9
238,Jake Wieneke MIN,10,194,373,259,80.9,,,9
239,David Moore SEA,7,190,382,260.3,86.4,,,9
240,Philly Brown DEN,10,166,355,260.5,94.5,,,9
241,Michael Clark FA,,187,368,261.7,77.2,,,9
242,Robert Foster BUF,11,205,374,289.5,84.5,,,9
